spatial_weight_x,spatial_weight_y,contour_weight,sequence_accuracy,character_accuracy,total_images,time_seconds
1.3,0.35,90.0,44.5,78.89258950874272,2000,197.65678906440735
1.3,0.35,95.0,44.85,79.60033305578685,2000,178.17129039764404
1.3,0.35,100.0,45.9,80.1248959200666,2000,159.65591526031494
1.3,0.35,105.0,46.45,80.36636136552873,2000,167.36967158317566
1.3,0.35,110.0,47.15,81.08243130724397,2000,180.4951207637787
1.3,0.4,90.0,44.1,78.70940882597836,2000,169.26139068603516
1.3,0.4,95.0,44.55,79.40882597835137,2000,161.28238224983215
1.3,0.4,100.0,45.85,80.04995836802665,2000,153.21709275245667
1.3,0.4,105.0,46.45,80.60782681099084,2000,153.38850498199463
1.3,0.4,110.0,46.95,81.1240632805995,2000,163.1790144443512
1.3,0.45,90.0,44.45,78.78434637801831,2000,163.24170303344727
1.3,0.45,95.0,44.85,79.52539550374688,2000,169.43365621566772
1.3,0.45,100.0,46.2,80.16652789342214,2000,164.45527243614197
1.3,0.45,105.0,46.25,80.59117402164863,2000,165.09430146217346
1.3,0.45,110.0,47.25,81.1157368859284,2000,161.42602920532227
1.4,0.35,90.0,44.7,78.91756869275603,2000,163.48234391212463
1.4,0.35,95.0,44.95,79.60865945045795,2000,165.50928926467896
1.4,0.35,100.0,45.9,80.18318068276436,2000,155.2650067806244
1.4,0.35,105.0,46.4,80.68276436303081,2000,151.9849774837494
1.4,0.35,110.0,47.3,81.3405495420483,2000,177.8198640346527
1.4,0.4,90.0,44.85,79.02581182348044,2000,170.18814992904663
1.4,0.4,95.0,45.25,79.7751873438801,2000,177.6809332370758
1.4,0.4,100.0,46.05,80.05828476269775,2000,170.78144598007202
1.4,0.4,105.0,46.25,80.75770191507077,2000,158.82753729820251
1.4,0.4,110.0,47.25,81.29059117402164,2000,163.29681372642517
1.4,0.45,90.0,44.95,78.992506244796,2000,159.06054735183716
1.4,0.45,95.0,45.05,79.56702747710241,2000,164.63546705245972
1.4,0.45,100.0,45.9,80.19983347210658,2000,166.5387887954712
1.4,0.45,105.0,46.6,80.6661115736886,2000,164.6997299194336
1.4,0.45,110.0,47.25,81.19900083263947,2000,165.8233757019043
1.5,0.35,90.0,45.35,79.65029142381348,2000,173.31889629364014
1.5,0.35,95.0,45.3,79.8834304746045,2000,159.16194701194763
1.5,0.35,100.0,46.15,80.36636136552873,2000,164.691153049469
1.5,0.35,105.0,46.9,81.07410491257285,2000,163.6447331905365
1.5,0.35,110.0,47.7,81.47377185678602,2000,165.6833200454712
1.5,0.4,90.0,45.25,79.44213155703581,2000,169.2041299343109
1.5,0.4,95.0,45.5,80.09991673605329,2000,164.13549900054932
1.5,0.4,100.0,46.05,80.44129891756869,2000,163.9408357143402
1.5,0.4,105.0,46.9,80.91590341382181,2000,164.28497695922852
1.5,0.4,110.0,47.8,81.53205661948377,2000,154.02705264091492
1.5,0.45,90.0,45.2,79.38384679433806,2000,168.82478642463684
1.5,0.45,95.0,45.3,79.91673605328893,2000,169.6911108493805
1.5,0.45,100.0,46.2,80.30807660283098,2000,167.08400082588196
1.5,0.45,105.0,46.95,81.19067443796835,2000,167.8363015651703
1.5,0.45,110.0,47.8,81.47377185678602,2000,165.56636881828308
1.6,0.35,90.0,45.25,79.55870108243131,2000,165.83771777153015
1.6,0.35,95.0,45.7,80.29975020815986,2000,162.4631471633911
1.6,0.35,100.0,46.1,80.3413821815154,2000,168.8602237701416
1.6,0.35,105.0,47.2,81.03247293921731,2000,164.74450540542603
1.6,0.35,110.0,47.75,81.62364696086594,2000,163.35177993774414
1.6,0.4,90.0,45.35,79.50041631973356,2000,163.5966136455536
1.6,0.4,95.0,45.9,80.17485428809326,2000,164.5053186416626
1.6,0.4,100.0,46.45,80.63280599500416,2000,165.12702822685242
1.6,0.4,105.0,46.85,80.94088259783514,2000,169.87178421020508
1.6,0.4,110.0,48.3,81.65695253955037,2000,160.50425004959106
1.6,0.45,90.0,45.15,79.72522897585345,2000,152.36343502998352
1.6,0.45,95.0,45.75,80.15820149875104,2000,152.52241349220276
1.6,0.45,100.0,46.3,80.59950041631973,2000,155.71313786506653
1.6,0.45,105.0,47.0,80.93255620316403,2000,169.26839113235474
1.6,0.45,110.0,48.1,81.74021648626145,2000,166.52617573738098
1.7,0.35,90.0,45.5,79.73355537052456,2000,153.4708607196808
1.7,0.35,95.0,45.85,80.24146544546211,2000,152.0787649154663
1.7,0.35,100.0,46.5,80.7826810990841,2000,151.8710479736328
1.7,0.35,105.0,47.1,81.22398001665279,2000,152.2689929008484
1.7,0.35,110.0,48.25,81.66527893422148,2000,169.45809698104858
1.7,0.4,90.0,45.3,79.89175686927561,2000,164.59701871871948
1.7,0.4,95.0,46.05,80.42464612822648,2000,159.67084884643555
1.7,0.4,100.0,46.65,80.84929225645296,2000,164.68331217765808
1.7,0.4,105.0,47.15,81.3405495420483,2000,162.53947114944458
1.7,0.4,110.0,48.0,81.6819317235637,2000,152.37368202209473
1.7,0.45,90.0,45.35,79.89175686927561,2000,153.8470540046692
1.7,0.45,95.0,45.9,80.39134054954205,2000,159.91889333724976
1.7,0.45,100.0,46.75,80.98251457119068,2000,152.63838267326355
1.7,0.45,105.0,47.2,81.29059117402164,2000,161.29675197601318
1.7,0.45,110.0,48.05,81.56536219816819,2000,164.7578911781311
